max_disp,acceptance_rate,min_energy,time
1e-05,0.5011428571428571,207785.96, 7.683
1.3738237958832637e-05,0.5,461994006.00, 7.968
1.8873918221350958e-05,0.49814285714285716,3630613802.73, 9.881
2.592943797404667e-05,0.5102857142857142,1722533.54, 8.900
3.562247890262444e-05,0.5094285714285715,4517464968.56, 8.207
4.8939009184774984e-05,0.5082857142857143,2612218.81, 8.942
6.723357536499335e-05,0.49414285714285716,201818859.39, 7.568
9.236708571873866e-05,0.49457142857142855,2601852238.09, 7.566
0.0001268961003167922,0.49142857142857144,324107.01, 7.592
0.00017433288221999874,0.5035714285714286,27905525.71, 7.391
0.0002395026619987486,0.504,6006377220192.02, 7.367
0.00032903445623126676,0.5175714285714286,5065563611.32, 7.315
0.00045203536563602405,0.49914285714285717,5795785.27, 7.485
0.0006210169418915615,0.49242857142857144,559042.57, 7.460
0.0008531678524172805,0.4947142857142857,1011047003654.90, 7.478
0.0011721022975334804,0.49657142857142855,46261360.43, 7.396
0.001610262027560939,0.5005714285714286,491502.52, 7.726
0.002212216291070448,0.5038571428571429,93388573.07, 7.835
0.0030391953823131978,0.489,282731098.33, 7.870
0.0041753189365604,0.48828571428571427,8367.60, 8.106
0.005736152510448682,0.4937142857142857,5082.49, 8.185
0.007880462815669913,0.5017142857142857,49232.38, 8.484
0.01082636733874054,0.49214285714285716,5322.68, 7.634
0.014873521072935117,0.49357142857142855,-86.97, 8.050
0.020433597178569417,0.4848571428571429,-104.30, 7.524
0.028072162039411756,0.4427142857142857,-124.25, 7.435
0.03856620421163472,0.38157142857142856,-137.51, 7.497
0.05298316906283707,0.3057142857142857,-142.06, 7.481
0.07278953843983145,0.24785714285714286,-149.78, 7.680
0.1,0.1637142857142857,-154.65, 7.500
